"date","maxtemp","mintemp","wind","maxgust","precipitation","snowdepth","event"
"03/11/2012 ",17,12,33.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"04/11/2012 ",15,12,28,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"05/11/2012 ",17,11,23.6,"n/a ",0,"n/a "," "
"06/11/2012 ",18,11,9.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"07/11/2012 ",17,9,13.8,"n/a ",0,"n/a "," "
"08/11/2012 ",18,9,13.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"09/11/2012 ",18,13,22.2,"n/a ",0,"n/a "," "
"10/11/2012 ",18,12,18.2,"n/a ",0,"n/a "," "
"11/11/2012 ",18,12,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"12/11/2012 ",17,11,13.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"13/11/2012 ",19,13,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"14/11/2012 ",19,13,30.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"15/11/2012 ",19,14,28,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"16/11/2012 ",18,13,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"17/11/2012 ",18,14,39.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"18/11/2012 ",18,11,30.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"19/11/2012 ",18,10,13.8,"n/a ",0,"n/a "," "
"20/11/2012 ",19,11,16.8,"n/a ",0,"n/a "," "
"21/11/2012 ",21,15,15.5,"n/a ",0,"n/a "," "
"22/11/2012 ",22,13,22.2,"n/a ",0,"n/a "," "
"23/11/2012 ",21,13,18.2,"n/a ",0,"n/a "," "
"24/11/2012 ",19,15,22.2,"n/a ",0,"n/a "," "
"25/11/2012 ",20,15,23.6,"n/a ",0,"n/a "," "
"26/11/2012 ",21,16,29.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"27/11/2012 ",19,14,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"28/11/2012 ",21,15,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"29/11/2012 ",18,14,35.1,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"30/11/2012 ",19,13,33.4,"n/a ",0,"n/a ","  "
"01/12/2012 ",19,15,23.6,"n/a ",0,"n/a "," "
"02/12/2012 ",19,17,29.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"03/12/2012 ",21,11,23.6,"n/a ",0,"n/a "," "
"04/12/2012 ",21,17,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"05/12/2012 ",22,18,22.2,28,"n/a ","n/a ","Rain (or Drizzle) Thunder"
"06/12/2012 ",20,14,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
